acq_id,registration_datetime,acquisition_datetime,data_ecosystem,instrument,instrument_model,modalities_in_study,operator,data_source,sample_id,sample_type,session_id,primary_kind,primary_file_name,original_name,file_format,file_size_mb,file_count,canonical_path,checksum_present,extended_metadata_present,project_hint,ingest_config,notes
ACQ-20250114-XMRI-001,2026-03-10T11:07:15Z,2025-01-14T00:00:00Z,DICOM,XMRI,,MR,RT,collaborator:LIONS,LEONE_3.13,cardiac MRI study,,,ACQ-20250114-XMRI-001.zip,LEONE_3.13.zip,.zip,490.6,4,/raw/DICOM/2025/2025-01/ACQ-20250114-XMRI-001/,Y,Y,PROJ-0001,,
ACQ-20180425-XMRI-001,2026-03-10T15:50:54Z,2018-04-25T00:00:00Z,DICOM,XMRI,Ingenuity,MR,RT,collaborator:HPIC,HPIC02,cardiac MRI study,,,ACQ-20180425-XMRI-001.zip,HPIC02.rar,.zip,494.9,4,/raw/DICOM/2018/2018-04/ACQ-20180425-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20180612-XMRI-001,2026-03-10T15:52:18Z,2018-06-12T00:00:00Z,DICOM,XMRI,Ingenuity,PR,RT,collaborator:HPIC,HPIC03,cardiac MRI study,,,ACQ-20180612-XMRI-001.zip,HPIC03.rar,.zip,560.3,4,/raw/DICOM/2018/2018-06/ACQ-20180612-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20180808-XMRI-001,2026-03-10T15:53:49Z,2018-08-08T00:00:00Z,DICOM,XMRI,Ingenuity,MR,RT,collaborator:HPIC,HPIC04,cardiac MRI study,,,ACQ-20180808-XMRI-001.zip,HPIC04.rar,.zip,622.8,4,/raw/DICOM/2018/2018-08/ACQ-20180808-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20260310-XMRI-001,2026-03-10T15:55:22Z,,DICOM,XMRI,Ingenuity,,RT,collaborator:HPIC,HPIC11,cardiac MRI study,,,ACQ-20260310-XMRI-001.zip,HPIC11.rar,.zip,655.5,4,/raw/DICOM/2026/2026-03/ACQ-20260310-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20190123-XMRI-001,2026-03-10T15:56:49Z,2019-01-23T00:00:00Z,DICOM,XMRI,Ingenuity,PR,RT,collaborator:HPIC,HPIC12,cardiac MRI study,,,ACQ-20190123-XMRI-001.zip,HPIC12.rar,.zip,608.4,4,/raw/DICOM/2019/2019-01/ACQ-20190123-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20190220-XMRI-001,2026-03-10T15:58:17Z,2019-02-20T00:00:00Z,DICOM,XMRI,Ingenuity,MR,RT,collaborator:HPIC,HPIC14,cardiac MRI study,,,ACQ-20190220-XMRI-001.zip,HPIC14.rar,.zip,592.8,4,/raw/DICOM/2019/2019-02/ACQ-20190220-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20190227-XMRI-001,2026-03-10T15:59:31Z,2019-02-27T00:00:00Z,DICOM,XMRI,Ingenuity,MR,RT,collaborator:HPIC,HPIC15,cardiac MRI study,,,ACQ-20190227-XMRI-001.zip,HPIC15.rar,.zip,515.2,4,/raw/DICOM/2019/2019-02/ACQ-20190227-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20190314-XMRI-001,2026-03-10T16:00:44Z,2019-03-14T00:00:00Z,DICOM,XMRI,Ingenuity,MR,RT,collaborator:HPIC,HPIC16,cardiac MRI study,,,ACQ-20190314-XMRI-001.zip,HPIC16.rar,.zip,453.8,4,/raw/DICOM/2019/2019-03/ACQ-20190314-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20190320-XMRI-001,2026-03-10T16:02:05Z,2019-03-20T00:00:00Z,DICOM,XMRI,Ingenuity,PR,RT,collaborator:HPIC,HPIC17,cardiac MRI study,,,ACQ-20190320-XMRI-001.zip,HPIC17.rar,.zip,550.7,4,/raw/DICOM/2019/2019-03/ACQ-20190320-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20190508-XMRI-001,2026-03-10T16:03:30Z,2019-05-08T00:00:00Z,DICOM,XMRI,Ingenuity,MR,RT,collaborator:HPIC,HPIC20,cardiac MRI study,,,ACQ-20190508-XMRI-001.zip,HPIC20.rar,.zip,590.3,4,/raw/DICOM/2019/2019-05/ACQ-20190508-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20190529-XMRI-001,2026-03-10T16:05:06Z,2019-05-29T00:00:00Z,DICOM,XMRI,Ingenuity,MR,RT,collaborator:HPIC,HPIC21,cardiac MRI study,,,ACQ-20190529-XMRI-001.zip,HPIC21.rar,.zip,551.4,4,/raw/DICOM/2019/2019-05/ACQ-20190529-XMRI-001/,Y,Y,PROJ-0002,,
ACQ-20190807-XMRI-001,2026-03-10T16:06:33Z,2019-08-07T00:00:00Z,DICOM,XMRI,Ingenuity,PR,RT,collaborator:HPIC,HPIC23,cardiac MRI study,,,ACQ-20190807-XMRI-001.zip,HPIC23.rar,.zip,565.0,4,/raw/DICOM/2019/2019-08/ACQ-20190807-XMRI-001/,Y,Y,PROJ-0002,,
