acq_id,original_name,canonical_path
ACQ-20250107-CELL-053,HLF_alphasma_10x_CS-miR-ctrl_10.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-053/
ACQ-20250107-CELL-054,HLF_alphasma_10x_CS-miR-ctrl_2.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-054/
ACQ-20250107-CELL-055,HLF_alphasma_10x_CS-miR-ctrl_3.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-055/
ACQ-20250107-CELL-056,HLF_alphasma_10x_CS-miR-ctrl_4.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-056/
ACQ-20250107-CELL-057,HLF_alphasma_10x_CS-miR-ctrl_5.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-057/
ACQ-20250107-CELL-058,HLF_alphasma_10x_CS-miR-ctrl_6.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-058/
ACQ-20250107-CELL-059,HLF_alphasma_10x_CS-miR-ctrl_7.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-059/
ACQ-20250107-CELL-060,HLF_alphasma_10x_CS-miR-ctrl_8.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-060/
ACQ-20250107-CELL-061,HLF_alphasma_10x_CS-miR-ctrl_9.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-061/
ACQ-20250107-CELL-062,HLF_alphasma_10x_CS-vacio_1.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-062/
ACQ-20250107-CELL-063,HLF_alphasma_10x_CS-vacio_10.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-063/
ACQ-20250107-CELL-064,HLF_alphasma_10x_CS-vacio_2.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-064/
ACQ-20250107-CELL-065,HLF_alphasma_10x_CS-vacio_3.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-065/
ACQ-20250107-CELL-066,HLF_alphasma_10x_CS-vacio_4.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-066/
ACQ-20250107-CELL-067,HLF_alphasma_10x_CS-vacio_5.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-067/
ACQ-20250107-CELL-068,HLF_alphasma_10x_CS-vacio_6.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-068/
ACQ-20250107-CELL-069,HLF_alphasma_10x_CS-vacio_7.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-069/
ACQ-20250107-CELL-070,HLF_alphasma_10x_CS-vacio_8.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-070/
ACQ-20250107-CELL-071,HLF_alphasma_10x_CS-vacio_9.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-071/
ACQ-20250107-CELL-072,HLF_alphasma_10x_PF_1.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-072/
ACQ-20250107-CELL-073,HLF_alphasma_10x_PF_10.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-073/
ACQ-20250107-CELL-074,HLF_alphasma_10x_PF_2.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-074/
ACQ-20250107-CELL-075,HLF_alphasma_10x_PF_3.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-075/
ACQ-20250107-CELL-076,HLF_alphasma_10x_PF_4.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-076/
ACQ-20250107-CELL-077,HLF_alphasma_10x_PF_5.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-077/
ACQ-20250107-CELL-078,HLF_alphasma_10x_PF_6.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-078/
ACQ-20250107-CELL-079,HLF_alphasma_10x_PF_7.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-079/
ACQ-20250107-CELL-080,HLF_alphasma_10x_PF_8.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-080/
ACQ-20250107-CELL-081,HLF_alphasma_10x_PF_9.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-081/
ACQ-20250107-CELL-082,HLF_alphasma_10x_control_1.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-082/
ACQ-20250107-CELL-083,HLF_alphasma_10x_control_10.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-083/
ACQ-20250107-CELL-084,HLF_alphasma_10x_control_2.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-084/
ACQ-20250107-CELL-085,HLF_alphasma_10x_control_3.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-085/
ACQ-20250107-CELL-086,HLF_alphasma_10x_control_4.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-086/
ACQ-20250107-CELL-087,HLF_alphasma_10x_control_5.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-087/
ACQ-20250107-CELL-088,HLF_alphasma_10x_control_6.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-088/
ACQ-20250107-CELL-089,HLF_alphasma_10x_control_7.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-089/
ACQ-20250107-CELL-090,HLF_alphasma_10x_control_8.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-090/
ACQ-20250107-CELL-091,HLF_alphasma_10x_control_9.czi,/raw/MICROSCOPY/2025/2025-01/ACQ-20250107-CELL-091/
ACQ-20250310-CELL-001,CC-Mn-29a_1.czi,/raw/MICROSCOPY/2025/2025-03/ACQ-20250310-CELL-001/
